rank,pls_min_mv,driver,points,back,starts,pole,win,top_5,top_10,winnings,year,race_num
8,-2,Jeff Gordon,1008,-201,8,3,0,1,4,"$1,269,950",2002,8
9,+2,Dale Earnhardt Jr,993,-216,8,2,0,4,4,"$904,930",2002,8
10,-1,Ricky Rudd,993,-216,8,1,0,2,3,"$1,001,600",2002,8
11,+3,Jeff Burton,929,-280,8,0,0,0,3,"$867,035",2002,8
12,+5,Bobby Labonte,918,-291,8,0,1,3,3,"$1,011,430",2002,8
13,-3,Bill Elliott,907,-302,8,4,0,0,3,"$836,534",2002,8
14,+1,Ward Burton,888,-321,8,1,1,1,2,"$2,032,830",2002,8
15,+4,Terry Labonte,886,-323,8,0,0,0,2,"$818,056",2002,8
16,+2,Jeremy Mayfield,866,-343,8,0,0,1,1,"$730,077",2002,8
17,-5,Ryan Newman,866,-343,8,6,0,2,4,"$830,801",2002,8
18,-5,Ricky Craven,865,-344,8,2,0,2,2,"$645,231",2002,8
19,-3,Elliott Sadler,836,-373,8,0,0,2,2,"$1,472,890",2002,8
20,--,Dave Blaney,831,-378,8,0,0,0,0,"$676,444",2002,8
21,+3,Dale Jarrett,813,-396,8,1,0,1,2,"$891,864",2002,8
22,-1,Jimmy Spencer,796,-413,7,0,0,1,3,"$521,348",2002,8
23,+2,Kyle Petty,744,-465,8,0,0,0,0,"$480,807",2002,8
24,+3,Michael Waltrip,737,-472,8,0,0,1,1,"$823,620",2002,8
25,-2,Jerry Nadeau,732,-477,8,0,0,0,1,"$576,835",2002,8
26,+3,Johnny Benson Jr,717,-492,8,0,0,0,1,"$756,942",2002,8
27,+1,Jeff Green,709,-500,8,0,0,0,0,"$515,419",2002,8
28,-2,Mike Skinner,706,-503,8,0,0,0,0,"$563,998",2002,8
29,-7,Kevin Harvick,692,-517,7,1,0,1,2,"$792,311",2002,8
30,--,Bobby Hamilton,675,-534,8,0,0,0,1,"$598,826",2002,8
31,--,Robby Gordon,641,-568,8,0,0,0,0,"$697,283",2002,8
32,+1,Ken Schrader,595,-614,8,0,0,0,0,"$602,302",2002,8
33,+2,Stacy Compton,583,-626,8,0,0,0,0,"$516,408",2002,8
34,-2,John Andretti,577,-632,8,0,0,0,0,"$699,449",2002,8
35,-1,Buckshot Jones,559,-650,7,0,0,0,0,"$394,223",2002,8
36,+3,Hut Stricklin,542,-667,7,0,0,0,0,"$398,842",2002,8
37,--,Brett Bodine,533,-676,8,0,0,0,0,"$494,061",2002,8
38,-2,Casey Atwood,512,-697,8,0,0,0,0,"$491,354",2002,8
39,+2,Kenny Wallace,453,-756,5,0,0,0,1,"$536,738",2002,8
40,--,Rick Mast,451,-758,7,0,0,0,0,"$341,342",2002,8
41,-3,Joe Nemechek,447,-762,6,0,0,0,0,"$527,800",2002,8
42,+1,Steve Park,336,-873,4,0,0,0,0,"$331,655",2002,8
43,-1,Shawna Robinson,281,-928,5,0,0,0,0,"$321,604",2002,8
44,--,Todd Bodine,218,-991,3,1,0,0,0,"$273,965",2002,8
45,--,Geoffrey Bodine,165,-1044,1,0,0,1,1,"$688,641",2002,8
46,--,Mike Wallace,149,-1060,2,0,0,0,0,"$225,847",2002,8
47,+2,Hermie Sadler,143,-1066,2,0,0,0,0,"$107,829",2002,8
48,+2,Frank Kimmel,107,-1102,2,0,0,0,0,"$140,939",2002,8
49,-2,Robert Pressley,97,-1112,1,0,0,0,0,"$150,859",2002,8
50,-2,Dick Trickle,74,-1135,2,0,0,0,0,"$88,215",2002,8
51,+2,Andy Hillenburg,68,-1141,2,0,0,0,0,"$70,003",2002,8
52,-1,Jay Sauter,52,-1157,1,0,0,0,0,"$50,200",2002,8
53,-1,Dave Marcis,37,-1172,1,0,0,0,0,"$137,110",2002,8
1,--,Sterling Marlin,1369,0,9,0,2,4,7,"$1,565,790",2002,9
2,--,Matt Kenseth,1260,-109,9,1,2,4,6,"$1,227,020",2002,9
3,+1,Rusty Wallace,1212,-157,9,1,0,0,5,"$1,031,640",2002,9
4,+2,Kurt Busch,1192,-177,9,1,1,3,4,"$1,171,950",2002,9
5,+4,Dale Earnhardt Jr,1178,-191,9,2,1,5,5,"$1,089,760",2002,9
6,+1,Jimmie Johnson,1172,-197,9,4,0,1,6,"$680,872",2002,9
7,+1,Jeff Gordon,1168,-201,9,3,0,2,5,"$1,412,950",2002,9
8,-3,Tony Stewart,1138,-231,9,2,1,5,5,"$1,405,630",2002,9
9,-6,Mark Martin,1137,-232,9,0,0,2,5,"$1,259,710",2002,9
10,--,Ricky Rudd,1114,-255,9,1,0,2,3,"$1,103,000",2002,9
11,--,Jeff Burton,1072,-297,9,0,0,0,4,"$973,682",2002,9
12,+1,Bill Elliott,1013,-356,9,4,0,0,3,"$921,360",2002,9
13,+1,Ward Burton,1006,-363,9,1,1,1,2,"$2,135,110",2002,9
14,+1,Terry Labonte,989,-380,9,0,0,0,2,"$908,199",2002,9
15,+3,Ricky Craven,974,-395,9,2,0,2,2,"$712,391",2002,9
16,+5,Dale Jarrett,968,-401,9,1,0,1,3,"$1,005,390",2002,9
17,-5,Bobby Labonte,958,-411,9,0,1,3,3,"$1,107,620",2002,9
18,-2,Jeremy Mayfield,926,-443,9,0,0,1,1,"$792,152",2002,9
19,+5,Michael Waltrip,912,-457,9,0,0,2,2,"$955,475",2002,9
20,+2,Jimmy Spencer,908,-461,8,0,0,1,3,"$593,948",2002,9
21,-4,Ryan Newman,905,-464,9,6,0,2,4,"$888,823",2002,9
22,-2,Dave Blaney,901,-468,9,0,0,0,0,"$739,994",2002,9
23,-4,Elliott Sadler,879,-490,9,0,0,2,2,"$1,531,500",2002,9
24,-1,Kyle Petty,878,-491,9,0,0,0,1,"$545,937",2002,9
25,+2,Jeff Green,824,-545,9,0,0,0,0,"$571,534",2002,9
26,+2,Mike Skinner,800,-569,9,0,0,0,0,"$629,727",2002,9
27,-2,Jerry Nadeau,799,-570,9,0,0,0,1,"$640,135",2002,9
28,+2,Bobby Hamilton,772,-597,9,0,0,0,1,"$674,976",2002,9
29,--,Kevin Harvick,771,-598,8,1,0,1,2,"$890,809",2002,9
30,-4,Johnny Benson Jr,763,-606,9,0,0,0,1,"$834,557",2002,9
31,--,Robby Gordon,705,-664,9,0,0,0,0,"$778,914",2002,9
32,--,Ken Schrader,686,-683,9,0,0,0,0,"$667,312",2002,9
33,+3,Hut Stricklin,672,-697,8,0,0,0,0,"$462,417",2002,9
34,-1,Stacy Compton,665,-704,9,0,0,0,0,"$572,678",2002,9
35,+2,Brett Bodine,657,-712,9,0,0,0,0,"$570,926",2002,9
36,-2,John Andretti,626,-743,9,0,0,0,0,"$777,582",2002,9
37,+1,Casey Atwood,597,-772,9,0,0,0,0,"$547,879",2002,9
38,-3,Buckshot Jones,559,-810,7,0,0,0,0,"$394,223",2002,9
39,--,Kenny Wallace,553,-816,6,0,0,0,1,"$591,308",2002,9
40,--,Rick Mast,451,-918,7,0,0,0,0,"$341,342",2002,9
41,--,Joe Nemechek,447,-922,6,0,0,0,0,"$527,800",2002,9
42,--,Steve Park,397,-972,5,0,0,0,0,"$416,365",2002,9
43,+2,Geoffrey Bodine,292,-1077,2,0,0,1,1,"$747,786",2002,9
44,-1,Shawna Robinson,281,-1088,5,0,0,0,0,"$321,604",2002,9
45,-1,Todd Bodine,218,-1151,3,1,0,0,0,"$273,965",2002,9
46,--,Mike Wallace,186,-1183,3,0,0,0,0,"$276,057",2002,9
47,+1,Frank Kimmel,165,-1204,3,0,0,0,0,"$220,831",2002,9
48,-1,Hermie Sadler,143,-1226,2,0,0,0,0,"$107,829",2002,9
49,--,Robert Pressley,97,-1272,1,0,0,0,0,"$150,859",2002,9
50,--,Steve Grissom,88,-1281,1,0,0,0,0,"$53,605",2002,9
51,-1,Dick Trickle,74,-1295,2,0,0,0,0,"$88,215",2002,9
52,-1,Andy Hillenburg,68,-1301,2,0,0,0,0,"$70,003",2002,9
53,-1,Jay Sauter,52,-1317,1,0,0,0,0,"$50,200",2002,9
54,-1,Dave Marcis,37,-1332,1,0,0,0,0,"$137,110",2002,9
1,--,Sterling Marlin,1515,0,10,0,2,4,8,"$1,674,880",2002,10
2,+2,Kurt Busch,1372,-143,10,1,1,4,5,"$1,312,030",2002,10
3,-1,Matt Kenseth,1363,-152,10,1,2,4,6,"$1,304,570",2002,10
4,-1,Rusty Wallace,1354,-161,10,1,0,0,6,"$1,139,360",2002,10
5,+1,Jimmie Johnson,1352,-163,10,4,1,2,7,"$857,622",2002,10
6,+3,Mark Martin,1292,-223,10,0,0,3,6,"$1,370,170",2002,10
7,--,Jeff Gordon,1283,-232,10,3,0,2,5,"$1,523,030",2002,10
8,+2,Ricky Rudd,1279,-236,10,1,0,3,4,"$1,251,120",2002,10
9,-4,Dale Earnhardt Jr,1233,-282,10,2,1,5,5,"$1,179,750",2002,10
10,-2,Tony Stewart,1214,-301,10,2,1,5,5,"$1,507,640",2002,10
11,+1,Bill Elliott,1178,-337,10,4,0,1,4,"$1,047,220",2002,10
12,-1,Jeff Burton,1178,-337,10,0,0,0,4,"$1,074,850",2002,10
13,+3,Dale Jarrett,1123,-392,10,1,0,1,4,"$1,120,320",2002,10
14,-1,Ward Burton,1115,-400,10,1,1,1,2,"$2,234,810",2002,10
15,-1,Terry Labonte,1089,-426,10,0,0,0,2,"$996,932",2002,10
16,+3,Michael Waltrip,1051,-464,10,0,0,2,3,"$1,032,850",2002,10
17,+5,Dave Blaney,1044,-471,10,0,0,0,1,"$831,869",2002,10
18,+3,Ryan Newman,1031,-484,10,6,0,2,4,"$983,423",2002,10
19,-4,Ricky Craven,1026,-489,10,2,0,2,2,"$773,391",2002,10
20,-3,Bobby Labonte,1019,-496,10,0,1,3,3,"$1,206,850",2002,10
21,-1,Jimmy Spencer,990,-525,9,0,0,1,3,"$651,973",2002,10
22,+2,Kyle Petty,990,-525,10,0,0,0,1,"$602,837",2002,10
23,-5,Jeremy Mayfield,975,-540,10,0,0,1,1,"$852,977",2002,10
24,+1,Jeff Green,954,-561,10,0,0,0,0,"$632,234",2002,10
25,-2,Elliott Sadler,925,-590,10,0,0,2,2,"$1,592,280",2002,10
26,+1,Jerry Nadeau,884,-631,10,0,0,0,1,"$706,510",2002,10
27,+3,Johnny Benson Jr,881,-634,10,0,0,0,1,"$925,357",2002,10
28,-2,Mike Skinner,870,-645,10,0,0,0,0,"$686,777",2002,10
29,-1,Bobby Hamilton,845,-670,10,0,0,0,1,"$749,090",2002,10
30,+1,Robby Gordon,832,-683,10,0,0,0,0,"$869,370",2002,10
31,-2,Kevin Harvick,829,-686,9,1,0,1,2,"$989,862",2002,10
32,+3,Brett Bodine,751,-764,10,0,0,0,0,"$643,226",2002,10
33,-1,Ken Schrader,720,-795,10,0,0,0,0,"$728,118",2002,10
34,+2,John Andretti,717,-798,10,0,0,0,0,"$863,640",2002,10
35,-2,Hut Stricklin,715,-800,9,0,0,0,0,"$523,122",2002,10
36,-2,Stacy Compton,710,-805,10,0,0,0,0,"$625,328",2002,10
37,--,Casey Atwood,676,-839,10,0,0,0,0,"$616,104",2002,10
38,--,Buckshot Jones,559,-956,7,0,0,0,0,"$394,223",2002,10
39,--,Kenny Wallace,553,-962,6,0,0,0,1,"$591,308",2002,10
40,+1,Joe Nemechek,535,-980,7,0,0,0,0,"$612,062",2002,10
41,-1,Rick Mast,518,-997,8,0,0,0,0,"$397,692",2002,10
42,--,Steve Park,494,-1021,6,0,0,0,0,"$505,840",2002,10
43,+1,Shawna Robinson,318,-1197,6,0,0,0,0,"$374,209",2002,10
44,-1,Geoffrey Bodine,292,-1223,2,0,0,1,1,"$747,786",2002,10
45,--,Todd Bodine,218,-1297,3,1,0,0,0,"$273,965",2002,10
46,--,Mike Wallace,186,-1329,3,0,0,0,0,"$276,057",2002,10
47,--,Frank Kimmel,165,-1350,3,0,0,0,0,"$220,831",2002,10
48,+2,Steve Grissom,152,-1363,2,0,0,0,0,"$107,255",2002,10
49,-1,Hermie Sadler,143,-1372,2,0,0,0,0,"$107,829",2002,10
50,--,Greg Biffle,124,-1391,1,0,0,0,0,"$80,059",2002,10
51,-2,Robert Pressley,97,-1418,1,0,0,0,0,"$150,859",2002,10
52,-1,Dick Trickle,74,-1441,2,0,0,0,0,"$88,215",2002,10
53,-1,Andy Hillenburg,68,-1447,2,0,0,0,0,"$70,003",2002,10
54,-1,Jay Sauter,52,-1463,1,0,0,0,0,"$50,200",2002,10
55,-1,Dave Marcis,37,-1478,1,0,0,0,0,"$137,110",2002,10
1,--,Sterling Marlin,1645,0,11,0,2,4,8,"$1,762,570",2002,11
2,+1,Matt Kenseth,1513,-132,11,1,2,4,7,"$1,372,570",2002,11
3,-1,Kurt Busch,1454,-191,11,1,1,4,5,"$1,363,680",2002,11
4,+2,Mark Martin,1452,-193,11,0,0,4,7,"$1,476,870",2002,11
5,-1,Rusty Wallace,1442,-203,11,1,0,0,6,"$1,224,120",2002,11
6,+1,Jeff Gordon,1429,-216,11,3,0,2,6,"$1,622,430",2002,11
7,-2,Jimmie Johnson,1422,-223,11,4,1,2,7,"$897,947",2002,11
8,+2,Tony Stewart,1394,-251,11,2,2,6,6,"$1,693,290",2002,11
9,+3,Jeff Burton,1343,-302,11,0,0,1,5,"$1,200,920",2002,11
10,-2,Ricky Rudd,1330,-315,11,1,0,3,4,"$1,335,430",2002,11
11,--,Bill Elliott,1299,-346,11,4,0,1,4,"$1,120,750",2002,11
12,-3,Dale Earnhardt Jr,1288,-357,11,2,1,5,5,"$1,256,610",2002,11
13,+5,Ryan Newman,1206,-439,11,6,0,3,5,"$1,105,370",2002,11
14,--,Ward Burton,1198,-447,11,1,1,1,2,"$2,333,180",2002,11
15,-2,Dale Jarrett,1177,-468,11,1,0,1,4,"$1,208,070",2002,11
16,+3,Ricky Craven,1164,-481,11,2,0,2,3,"$833,366",2002,11
17,-2,Terry Labonte,1153,-492,11,0,0,0,2,"$1,065,990",2002,11
18,-2,Michael Waltrip,1147,-498,11,0,0,2,3,"$1,084,700",2002,11
19,+4,Jeremy Mayfield,1130,-515,11,0,0,2,2,"$920,927",2002,11
20,+1,Jimmy Spencer,1129,-516,10,0,0,1,4,"$726,248",2002,11
21,-4,Dave Blaney,1125,-520,11,0,0,0,1,"$882,369",2002,11
22,-2,Bobby Labonte,1086,-559,11,0,1,3,3,"$1,292,900",2002,11
23,-1,Kyle Petty,1084,-561,11,0,0,0,1,"$643,662",2002,11
24,--,Jeff Green,1083,-562,11,0,0,0,0,"$675,809",2002,11
25,--,Elliott Sadler,1025,-620,11,0,0,2,2,"$1,644,830",2002,11
26,+3,Bobby Hamilton,962,-683,11,0,0,0,1,"$811,379",2002,11
27,+1,Mike Skinner,949,-696,11,0,0,0,0,"$729,902",2002,11
28,-2,Jerry Nadeau,924,-721,11,0,0,0,1,"$754,275",2002,11
29,+1,Robby Gordon,884,-761,11,0,0,0,0,"$935,451",2002,11
30,-3,Johnny Benson Jr,881,-764,10,0,0,0,1,"$925,357",2002,11
31,--,Kevin Harvick,872,-773,10,1,0,1,2,"$1,075,460",2002,11
32,--,Brett Bodine,857,-788,11,0,0,0,0,"$688,751",2002,11
33,--,Ken Schrader,838,-807,11,0,0,0,0,"$796,453",2002,11
34,+1,Hut Stricklin,830,-815,10,0,0,0,0,"$577,822",2002,11
35,-1,John Andretti,820,-825,11,0,0,0,0,"$938,148",2002,11
36,--,Stacy Compton,795,-850,11,0,0,0,0,"$668,803",2002,11
37,--,Casey Atwood,773,-872,11,0,0,0,0,"$661,429",2002,11
38,+2,Joe Nemechek,662,-983,8,0,0,0,0,"$686,772",2002,11
39,+2,Rick Mast,576,-1069,9,0,0,0,0,"$437,817",2002,11
40,-2,Buckshot Jones,559,-1086,7,0,0,0,0,"$394,223",2002,11
41,+1,Steve Park,555,-1090,7,0,0,0,0,"$575,890",2002,11
42,-3,Kenny Wallace,553,-1092,6,0,0,0,1,"$591,308",2002,11
43,--,Shawna Robinson,318,-1327,6,0,0,0,0,"$374,209",2002,11
44,+4,Steve Grissom,294,-1351,3,0,0,0,1,"$168,130",2002,11
45,-1,Geoffrey Bodine,292,-1353,2,0,0,1,1,"$747,786",2002,11
46,+3,Hermie Sadler,252,-1393,3,0,0,0,0,"$149,879",2002,11
47,-2,Todd Bodine,218,-1427,3,1,0,0,0,"$273,965",2002,11
48,-1,Frank Kimmel,202,-1443,4,0,0,0,0,"$285,723",2002,11
49,-3,Mike Wallace,186,-1459,3,0,0,0,0,"$276,057",2002,11
50,--,Greg Biffle,124,-1521,1,0,0,0,0,"$80,059",2002,11
51,--,Robert Pressley,97,-1548,1,0,0,0,0,"$150,859",2002,11
52,--,Dick Trickle,74,-1571,2,0,0,0,0,"$88,215",2002,11
53,--,Andy Hillenburg,68,-1577,2,0,0,0,0,"$70,003",2002,11
54,--,Jay Sauter,52,-1593,1,0,0,0,0,"$50,200",2002,11
55,--,Dave Marcis,37,-1608,1,0,0,0,0,"$137,110",2002,11
56,--,Randy Renfrow,34,-1611,1,0,0,0,0,"$39,667",2002,11
1,--,Sterling Marlin,1775,0,12,0,2,4,8,"$1,917,070",2002,12
2,--,Matt Kenseth,1688,-87,12,1,2,5,8,"$1,665,670",2002,12
3,+1,Mark Martin,1632,-143,12,0,1,5,8,"$2,797,708",2002,12
4,+2,Jeff Gordon,1584,-191,12,3,0,3,7,"$1,808,860",2002,12
5,+2,Jimmie Johnson,1578,-197,12,4,1,2,8,"$1,198,870",2002,12
6,-1,Rusty Wallace,1576,-199,12,1,0,0,7,"$1,377,240",2002,12
7,+1,Tony Stewart,1544,-231,12,2,2,6,7,"$1,865,320",2002,12
8,-5,Kurt Busch,1529,-246,12,1,1,4,5,"$1,485,950",2002,12
9,+1,Ricky Rudd,1495,-280,12,1,0,4,5,"$1,535,350",2002,12
10,+1,Bill Elliott,1437,-338,12,4,0,1,5,"$1,278,330",2002,12
11,-2,Jeff Burton,1386,-389,12,0,0,1,5,"$1,357,410",2002,12
12,--,Dale Earnhardt Jr,1351,-424,12,2,1,5,5,"$1,498,180",2002,12
13,+3,Ricky Craven,1334,-441,12,2,0,3,4,"$1,015,020",2002,12
14,+4,Michael Waltrip,1289,-486,12,0,0,2,4,"$1,208,870",2002,12
15,--,Dale Jarrett,1283,-492,12,1,0,1,4,"$1,341,380",2002,12
16,+1,Terry Labonte,1280,-495,12,0,0,0,2,"$1,205,550",2002,12
17,-4,Ryan Newman,1246,-529,12,6,0,3,5,"$1,965,810",2002,12
18,-4,Ward Burton,1235,-540,12,1,1,1,2,"$2,472,190",2002,12
19,+2,Dave Blaney,1230,-545,12,0,0,0,1,"$997,195",2002,12
20,--,Jimmy Spencer,1217,-558,11,0,0,1,4,"$822,674",2002,12
21,+1,Bobby Labonte,1212,-563,12,0,1,3,3,"$1,443,560",2002,12
22,+1,Kyle Petty,1208,-567,12,0,0,0,1,"$752,663",2002,12
23,+1,Jeff Green,1186,-589,12,0,0,0,0,"$775,510",2002,12
24,-5,Jeremy Mayfield,1176,-599,12,0,0,2,2,"$1,079,990",2002,12
25,--,Elliott Sadler,1094,-681,12,0,0,2,2,"$1,755,460",2002,12
26,--,Bobby Hamilton,1056,-719,12,0,0,0,1,"$929,468",2002,12
27,--,Mike Skinner,1040,-735,12,0,0,0,0,"$823,578",2002,12
28,--,Jerry Nadeau,1003,-772,12,0,0,0,1,"$838,775",2002,12
29,--,Robby Gordon,999,-776,12,0,0,0,0,"$1,073,280",2002,12
30,+3,Ken Schrader,947,-828,12,0,0,0,0,"$922,859",2002,12
31,+1,Brett Bodine,939,-836,12,0,0,0,0,"$780,652",2002,12
32,+3,John Andretti,938,-837,12,0,0,0,0,"$1,066,380",2002,12
33,-2,Kevin Harvick,933,-842,11,1,0,1,2,"$1,221,140",2002,12
34,--,Hut Stricklin,927,-848,11,0,0,0,0,"$677,773",2002,12
35,+2,Casey Atwood,885,-890,12,0,0,0,0,"$776,980",2002,12
36,-6,Johnny Benson Jr,881,-894,10,0,0,0,1,"$959,683",2002,12
37,-1,Stacy Compton,847,-928,12,0,0,0,0,"$757,674",2002,12
38,--,Joe Nemechek,735,-1040,9,0,0,0,0,"$793,372",2002,12
39,+2,Steve Park,604,-1171,8,0,0,0,0,"$702,100",2002,12
40,-1,Rick Mast,576,-1199,9,0,0,0,0,"$469,843",2002,12
41,-1,Buckshot Jones,559,-1216,7,0,0,0,0,"$394,223",2002,12
42,--,Kenny Wallace,553,-1222,6,0,0,0,1,"$591,308",2002,12
43,+1,Steve Grissom,361,-1414,4,0,0,0,1,"$256,606",2002,12
44,+2,Hermie Sadler,328,-1447,4,0,0,0,0,"$238,830",2002,12
45,-2,Shawna Robinson,318,-1457,6,0,0,0,0,"$374,209",2002,12
46,-1,Geoffrey Bodine,292,-1483,2,0,0,1,1,"$747,786",2002,12
47,+1,Frank Kimmel,292,-1483,5,0,0,0,0,"$372,510",2002,12
48,-1,Todd Bodine,218,-1557,3,1,0,0,0,"$273,965",2002,12
49,--,Mike Wallace,186,-1589,3,0,0,0,0,"$316,357",2002,12
50,--,Greg Biffle,124,-1651,1,0,0,0,0,"$80,059",2002,12
51,--,Robert Pressley,97,-1678,1,0,0,0,0,"$150,859",2002,12
52,--,Dick Trickle,74,-1701,2,0,0,0,0,"$88,215",2002,12
53,--,Andy Hillenburg,68,-1707,2,0,0,0,0,"$101,629",2002,12
54,--,Ron Hornaday,55,-1720,1,0,0,0,0,"$88,476",2002,12
55,-1,Jay Sauter,52,-1723,1,0,0,0,0,"$50,200",2002,12
56,-1,Dave Marcis,37,-1738,1,0,0,0,0,"$137,110",2002,12
57,-1,Randy Renfrow,34,-1741,1,0,0,0,0,"$71,193",2002,12
58,--,Kevin Lepage,34,-1741,1,0,0,0,0,"$86,992",2002,12
1,--,Sterling Marlin,1899,0,13,0,2,4,8,"$2,013,400",2002,13
2,+3,Jimmie Johnson,1763,-136,13,4,2,3,9,"$1,351,270",2002,13
3,+1,Jeff Gordon,1739,-160,13,3,0,3,8,"$1,925,420",2002,13
4,-2,Matt Kenseth,1731,-168,13,1,2,5,8,"$1,738,510",2002,13
5,+1,Rusty Wallace,1688,-211,13,1,0,0,7,"$1,473,860",2002,13
6,-3,Mark Martin,1677,-222,13,0,1,5,8,"$2,880,260",2002,13
7,--,Tony Stewart,1674,-225,13,2,2,6,7,"$1,971,450",2002,13
8,--,Kurt Busch,1656,-243,13,1,1,4,5,"$1,552,160",2002,13
9,+1,Bill Elliott,1612,-287,13,4,0,2,6,"$1,417,430",2002,13
10,-1,Ricky Rudd,1606,-293,13,1,0,4,5,"$1,631,700",2002,13
11,--,Jeff Burton,1551,-348,13,0,0,2,6,"$1,491,670",2002,13
12,+1,Ricky Craven,1485,-414,13,2,0,3,5,"$1,087,500",2002,13
13,+2,Dale Jarrett,1443,-456,13,1,0,2,5,"$1,466,830",2002,13
14,-2,Dale Earnhardt Jr,1424,-475,13,2,1,5,5,"$1,585,680",2002,13
15,+2,Ryan Newman,1406,-493,13,6,0,4,6,"$2,069,240",2002,13
16,--,Terry Labonte,1398,-501,13,0,0,0,2,"$1,292,990",2002,13
17,-3,Michael Waltrip,1389,-510,13,0,0,2,4,"$1,272,880",2002,13
18,+3,Bobby Labonte,1327,-572,13,0,1,3,3,"$1,542,490",2002,13
19,+1,Jimmy Spencer,1311,-588,12,0,0,1,4,"$877,184",2002,13
20,+2,Kyle Petty,1311,-588,13,0,0,0,1,"$810,173",2002,13
21,-2,Dave Blaney,1306,-593,13,0,0,0,1,"$1,055,550",2002,13
22,-4,Ward Burton,1287,-612,13,1,1,1,2,"$2,564,390",2002,13
23,--,Jeff Green,1235,-664,13,0,0,0,0,"$824,595",2002,13
24,--,Jeremy Mayfield,1234,-665,13,0,0,2,2,"$1,137,410",2002,13
25,--,Elliott Sadler,1228,-671,13,0,0,2,3,"$1,837,290",2002,13
26,--,Bobby Hamilton,1194,-705,13,0,0,0,2,"$1,014,780",2002,13
27,+2,Robby Gordon,1141,-758,13,0,0,0,1,"$1,162,400",2002,13
28,-1,Mike Skinner,1137,-762,13,0,0,0,0,"$886,727",2002,13
29,-1,Jerry Nadeau,1085,-814,13,0,0,0,1,"$953,131",2002,13
30,+3,Kevin Harvick,1012,-887,12,1,0,1,2,"$1,317,430",2002,13
31,+3,Hut Stricklin,1012,-887,12,0,0,0,0,"$739,603",2002,13
32,--,John Andretti,1010,-889,13,0,0,0,0,"$1,143,360",2002,13
33,+2,Casey Atwood,1006,-893,13,0,0,0,0,"$844,340",2002,13
34,-4,Ken Schrader,1002,-897,13,0,0,0,0,"$980,164",2002,13
35,-4,Brett Bodine,1000,-899,13,0,0,0,0,"$830,222",2002,13
36,+1,Stacy Compton,938,-961,13,0,0,0,0,"$811,929",2002,13
37,-1,Johnny Benson Jr,881,-1018,10,0,0,0,1,"$925,357",2002,13
38,--,Joe Nemechek,769,-1130,10,0,0,0,0,"$850,124",2002,13
39,--,Steve Park,650,-1249,9,0,0,0,0,"$780,950",2002,13
40,--,Rick Mast,576,-1323,9,0,0,0,0,"$469,843",2002,13
41,--,Buckshot Jones,559,-1340,7,0,0,0,0,"$394,223",2002,13
42,--,Kenny Wallace,553,-1346,6,0,0,0,1,"$591,308",2002,13
43,--,Steve Grissom,449,-1450,5,0,0,0,1,"$310,986",2002,13
44,--,Hermie Sadler,328,-1571,4,0,0,0,0,"$238,830",2002,13
45,+3,Todd Bodine,327,-1572,4,1,0,0,0,"$354,912",2002,13
46,-1,Shawna Robinson,318,-1581,6,0,0,0,0,"$374,209",2002,13
47,-1,Geoffrey Bodine,292,-1607,2,0,0,1,1,"$747,786",2002,13
48,-1,Frank Kimmel,292,-1607,5,0,0,0,0,"$372,510",2002,13
49,--,Mike Wallace,186,-1713,3,0,0,0,0,"$316,357",2002,13
50,--,Greg Biffle,124,-1775,1,0,0,0,0,"$80,059",2002,13
51,+1,Dick Trickle,111,-1788,3,0,0,0,0,"$136,830",2002,13
52,-1,Robert Pressley,97,-1802,1,0,0,0,0,"$150,859",2002,13
53,--,Tony Raines,70,-1829,1,0,0,0,0,"$50,055",2002,13
54,-1,Andy Hillenburg,68,-1831,2,0,0,0,0,"$101,629",2002,13
55,--,Chad Little,64,-1835,1,0,0,0,0,"$49,745",2002,13
56,-2,Ron Hornaday,55,-1844,1,0,0,0,0,"$88,476",2002,13
57,-2,Jay Sauter,52,-1847,1,0,0,0,0,"$50,200",2002,13
58,-2,Dave Marcis,37,-1862,1,0,0,0,0,"$137,110",2002,13
59,-2,Randy Renfrow,34,-1865,1,0,0,0,0,"$71,193",2002,13
60,-2,Kevin Lepage,34,-1865,1,0,0,0,0,"$86,992",2002,13
1,--,Sterling Marlin,2064,0,14,0,2,5,9,"$2,127,170",2002,14
2,--,Jimmie Johnson,1928,-136,14,4,2,4,10,"$1,434,840",2002,14
3,--,Jeff Gordon,1899,-165,14,3,0,4,9,"$2,050,420",2002,14
4,+2,Mark Martin,1852,-212,14,0,1,6,9,"$3,021,260",2002,14
5,--,Rusty Wallace,1826,-238,14,1,0,0,8,"$1,563,180",2002,14
6,+1,Tony Stewart,1820,-244,14,2,2,6,8,"$2,067,500",2002,14
7,-3,Matt Kenseth,1794,-270,14,1,2,5,8,"$1,792,380",2002,14
8,+2,Ricky Rudd,1728,-336,14,1,0,4,5,"$1,715,280",2002,14
9,+2,Jeff Burton,1706,-358,14,0,0,2,7,"$1,587,210",2002,14
10,-2,Kurt Busch,1699,-365,14,1,1,4,5,"$1,595,260",2002,14
11,-2,Bill Elliott,1690,-374,14,4,0,2,6,"$1,480,730",2002,14
12,+1,Dale Jarrett,1623,-441,14,1,1,3,6,"$1,673,130",2002,14
13,-1,Ricky Craven,1611,-453,14,2,0,3,5,"$1,139,470",2002,14
14,--,Dale Earnhardt Jr,1551,-513,14,2,1,5,5,"$1,664,290",2002,14
